"","compound","LSM.ID","LSM.name","cell","Concordance","Tanimoto","autodock","Rank_S2L","Rank_Autodock","Geomean"
"58","ZINC11855983","LSM-4255","Dactolisib","MCF7",0.347,0.83,9.64e-10,3738,38,376.887251044659
"59","CHEMBL121190","LSM-3801","CHEMBL577121","A549",0.252,0.8,7.56e-10,6422,24,392.591390634079
"60","ZINC38688535","LSM-45291","Conivaptan HCl","YAPC",0.242,0.948,8.17e-09,237,658,394.899987338567
"61","CHEMBL67003","LSM-1109","YM 201636","SKBR3",0.302,0.915,4.63e-09,512,305,395.170849127311
"62","ZINC15930144","LSM-1884","MLS002576689","MCF7",0.206,0.857,1.69e-09,2177,72,395.909080471767
"63","CHEMBL67057","LSM-1079","TORIN1","HEPG2",0.344,0.915,4.71e-09,508,312,398.1155611126
"64","CHEMBL431977","LSM-43248","HG6-64-1","MCF10A",0.23,0.882,2.64e-09,1158,138,399.754924922758
"65","CHEMBL431977","LSM-43248","HG6-64-1","MCF10A",0.23,0.882,2.64e-09,1159,139,401.373890531011
"66","ZINC39945318","LSM-3382","T 98475","HCC515",0.274,0.876,2.46e-09,1312,126,406.585784306338
"67","ZINC19853962","LSM-2218","MLS-0257792.0001","A375",0.308,0.928,6.21e-09,364,458,408.303808456399
"68","ZINC03641154","LSM-4706","F1566-0341","NEU",0.257,0.915,4.97e-09,514,333,413.717294779902
"69","ZINC02301926","LSM-1873","MLS002264411","HCC515",0.257,0.945,8.36e-09,255,674,414.572068523677
"70","ZINC63437325","LSM-42284","BRD-K92129795","MCF7",0.226,0.678,2.77e-10,25092,7,419.099033642408
"71","ZINC04047855","LSM-6186","STK064652","PC3",0.341,1,2.58e-07,12,14710,420.142832855685
"72","ZINC04150075","LSM-2620","AC1MXYGS","MCF7",0.224,0.77,5.96e-10,10016,18,424.603344310899
"73","CHEMBL56543","LSM-2255","IN1436","PC3",0.339,1,2.02e-07,14,12959,425.941310511202
"74","ZINC45574272","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.884,3.15e-09,1106,173,437.421993045617
"75","ZINC39671406","LSM-2906","Ritanserin","HCC515",0.236,0.761,5.01e-10,11329,17,438.85418990822
"76","CHEMBL583403","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.92,5.9e-09,473,425,448.358115795845
"77","CHEMBL583403","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.92,5.9e-09,474,426,449.359544240467
"78","CHEMBL583403","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.92,5.9e-09,475,427,450.360966337004
"79","CHEMBL583403","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.92,5.9e-09,476,428,451.362382127709
"80","ZINC39659932","LSM-4172","GW7647","HA1E",0.246,0.943,9.04e-09,277,747,454.883501569358
"81","ZINC01887452","LSM-2415","MLS000581978","A549",0.393,0.865,2.35e-09,1729,120,455.499725576207
"82","ZINC17143435","LSM-1985","2-Phenyl-n-[4-(1,3-thiazol-2-ylsulfamoyl)phenyl]quinoline-4-carboxamide","VCAP",0.24,0.897,4.16e-09,806,262,459.5345471235
"83","ZINC12020574","LSM-45755","Docosanoic acid","HELA",0.263,0.927,7.06e-09,390,555,465.241872578125
"84","ZINC12009303","LSM-4255","Dactolisib","MCF7",0.347,0.894,4.15e-09,857,261,472.945028518114
"85","ZINC42173972","LSM-1381","VU0447126-2","A375",0.351,1,5.59e-06,7,32401,476.242585244117
"86","CHEMBL245869","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.778,7.56e-10,9106,25,477.126817523392
"87","ZINC17013486","LSM-45392","Epitiostanol","HELA",0.219,0.971,1.45e-08,173,1330,479.676974640226
"88","ZINC02131028","LSM-45291","Conivaptan HCl","YAPC",0.242,0.927,7.44e-09,392,590,480.915793044895
"89","ZINC36378558","LSM-1304","Talampicillin","HEPG2",0.288,1,6.28e-08,41,5801,487.689450367752
"90","CHEMBL1172843","LSM-1675","MLS002264406","HA1E",0.2,0.977,1.73e-08,154,1626,500.403836915746
"91","ZINC09562288","LSM-1875","MLS002607804","HA1E",0.282,0.912,6.23e-09,548,461,502.621129679205
"92","ZINC06602277","LSM-4238","MLS000394288","HT29",0.225,0.977,1.77e-08,153,1677,506.538251270326
"93","ZINC10059707","LSM-1066","MLN-8054","HUVEC",0.319,0.865,2.76e-09,1731,149,507.857263411679
"94","ZINC02301925","LSM-1873","MLS002264411","HCC515",0.257,0.945,1.19e-08,256,1051,518.706082478314
"95","ZINC14471770","LSM-45476","","PC3",0.236,0.795,9.76e-10,6964,39,521.148731169903
"96","ZINC16780858","LSM-4811","Entinostat","HT29",0.272,0.859,2.58e-09,2031,134,521.683812284798
"97","CHEMBL121190","LSM-3801","CHEMBL577121","A549",0.252,0.767,7.56e-10,10490,26,522.24515316085
"98","ZINC38647792","LSM-4923","BIX-01338","MCF7",0.169,0.945,1.19e-08,260,1052,522.991395722721
"99","ZINC40826788","LSM-3767","Olmesartan Medoxomil","VCAP",0.308,0.771,8e-10,9836,28,524.793292640064
"100","ZINC40796211","LSM-3771","Leflunomide","VCAP",0.349,1,1.45e-05,8,34466,525.098086075354
"101","ZINC08612391","LSM-45708","Coluracetam","PC3",0.308,0.821,1.5e-09,4394,64,530.29802941365
"102","ZINC03364966","LSM-43196","AGK 2","SW948",0.331,0.879,3.84e-09,1226,230,531.017890470745
"103","ZINC12010483","LSM-45209","XMD15-27","SKBR3",0.268,0.78,9e-10,8720,33,536.43266119803
"104","ZINC08739084","LSM-15379","SR-2640","MCF7",0.238,0.841,2.13e-09,3029,98,544.832084224121
"105","ZINC33763234","LSM-4706","F1566-0341","NEU",0.257,0.947,1.39e-08,244,1266,555.791327748104
"106","ZINC02886855","LSM-2299","Fast Scarlet","A549",0.314,0.892,5.1e-09,900,345,557.225268630201
"107","ZINC00749900","LSM-1884","MLS002576689","MCF7",0.206,0.83,1.91e-09,3778,83,559.976785233102
"108","ZINC63613218","LSM-1124","MGCD-265","HUVEC",0.283,0.846,2.36e-09,2662,121,567.540306938635
"109","ZINC01821179","LSM-15379","SR-2640","MCF7",0.238,0.905,6.5e-09,650,498,568.946394662977
"110","ZINC08820993","LSM-3244","SMR000047763","VCAP",0.282,0.924,9.27e-09,419,773,569.11070979204
"111","ZINC39467576","LSM-9333","CHEMBL2362352","A549",0.283,0.698,4.93e-10,21652,15,569.89472712072
"112","ZINC41584726","LSM-38222","SA-1939007","MCF7",0.262,0.706,4.97e-10,20319,16,570.178919287622
"113","CHEMBL939","LSM-1098","Gefitinib","SKBR3",0.332,1,4.08e-07,18,18282,573.651462126612
"114","CHEMBL572881","LSM-1042","Motesanib","HA1E",0.338,1,6.64e-07,15,21941,573.685453885664
"115","ZINC59105843","LSM-4923","BIX-01338","MCF7",0.169,0.875,4e-09,1398,245,585.243539050197
"116","CHEMBL939","LSM-1098","Gefitinib","SKBR3",0.332,1,4.08e-07,19,18283,589.38696965576
"117","CHEMBL169514","LSM-4706","F1566-0341","NEU",0.257,0.896,5.9e-09,824,429,594.555295998614
"118","ZINC28368076","LSM-5776","Aripiprazole","YAPC",0.275,0.815,1.68e-09,4984,71,594.864690496923
"119","CHEMBL180022","LSM-42778","Neratinib","YAPC",0.323,1,3.09e-07,22,16093,595.017646797135
"120","ZINC22357736","LSM-2596","CHEMBL1271221","A549",0.174,0.862,3.35e-09,1909,186,595.880860575333
"121","ZINC25501883","LSM-1547","MLS002607805","VCAP",0.231,0.952,1.77e-08,217,1678,603.428537608224
"122","CHEMBL180022","LSM-42778","Neratinib","YAPC",0.323,1,3.09e-07,23,16094,608.40940163676
"123","ZINC58980029","LSM-45775","SB743921","YAPC",0.268,0.856,3.08e-09,2202,170,611.833310632888
"124","ZINC36553493","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.929,1.19e-08,357,1053,613.12396788904
"125","ZINC05443971","LSM-5550","Pregnenolone","MCF7",0.263,0.943,1.5e-08,273,1386,615.124377666826
"126","ZINC06824174","LSM-5712","24(S),25-epoxycholesterol","PC3",0.252,0.977,2.8e-08,142,2722,621.710543581175
"127","ZINC35938503","LSM-38111","BRD-K16046246","A375",0.275,0.796,1.34e-09,6834,57,624.129794193483
"128","ZINC40014528","LSM-4777","F3284-4453","VCAP",0.269,0.841,2.52e-09,3007,130,625.227958427964
"129","ZINC54644401","LSM-4909","MAYBRIDGE4_001867","HEPG2",0.213,0.88,4.81e-09,1222,321,626.308230825685
"130","ZINC21228993","LSM-1576","MLS000572607","HEPG2",0.319,0.857,3.38e-09,2076,189,626.389655086991
"131","ZINC09934501","LSM-1164","CHEMBL3182395","ASC",0.259,0.893,6.24e-09,890,462,641.23318691409
"132","ZINC27008476","LSM-45387","","MCF7",0.258,0.905,7.92e-09,646,638,641.987538819875
"133","ZINC17303186","LSM-4706","F1566-0341","NEU",0.257,0.903,7.62e-09,679,609,643.048209701263
"134","ZINC39923120","LSM-15379","SR-2640","MCF7",0.238,0.902,7.4e-09,705,587,643.300085496652
"135","ZINC04245686","LSM-3664","Ergocryptine","HEPG2",0.297,1,2.09e-07,32,13229,650.636611327706
"136","ZINC64540086","LSM-1149","SCHEMBL570779","HEPG2",0.25,0.8,1.52e-09,6426,66,651.24189054452
"137","ZINC14475669","LSM-1338","IN1304","HCC515",0.314,0.826,2.23e-09,4013,106,652.210088851744
"138","ZINC12367939","LSM-4706","F1566-0341","NEU",0.257,0.937,1.51e-08,308,1396,655.719452204981
"139","CHEMBL278041","LSM-1168","SB-203580","MCF7",0.284,1,1.37e-07,42,10239,655.772826518452
"140","ZINC27564093","LSM-1873","MLS002264411","HCC515",0.257,0.956,2.17e-08,208,2093,659.806032103375
"141","CHEMBL278041","LSM-1168","SB-203580","MCF7",0.284,1,1.37e-07,43,10240,663.566123306487
"142","CHEMBL212965","LSM-1023","Imatinib","HT29",0.304,0.901,7.77e-09,711,626,667.147659817525
"143","CHEMBL53898","LSM-3628","Tyrphostin B46","HCC515",0.289,1,1.73e-07,38,11838,670.704107636147
"144","ZINC03227393","LSM-36808","KUC111109N","PC3",0.265,0.911,9.48e-09,564,798,670.874056734943
"145","CHEMBL278041","LSM-1168","SB-203580","MCF7",0.284,1,1.37e-07,44,10241,671.270437305264
"146","ZINC39578868","LSM-43191","Axitinib","HA1E",0.3,0.849,3.26e-09,2506,181,673.48793604637
"147","ZINC63217504","LSM-2332","MLS003568132","A549",0.23,0.88,5.5e-09,1219,383,683.283981957722
"148","ZINC12318649","LSM-4923","BIX-01338","MCF7",0.169,0.935,1.55e-08,327,1437,685.491794261609
"149","ZINC19632603","LSM-2850","Domperidone","HCC515",0.244,1,6.14e-08,83,5695,687.520908772962
"150","ZINC39676503","LSM-45613","Darapladib","YAPC",0.261,0.77,1.14e-09,9995,48,692.647096290745
"151","ZINC39659893","LSM-4052","Benzonatate","A375",0.287,0.818,2.21e-09,4634,105,697.545697427774
"152","ZINC39695129","LSM-3850","Carmoxirole","HA1E",0.226,0.759,1.07e-09,11621,42,698.628656726877
"153","ZINC64540079","LSM-1149","SCHEMBL570779","HEPG2",0.25,0.8,1.81e-09,6427,76,698.893411043487
"154","ZINC43919368","LSM-43088","Calcitriol","PC3",0.246,1,6.71e-08,81,6104,703.152899446486
"155","ZINC20713781","LSM-4224","MLS003271342","VCAP",0.295,0.829,2.54e-09,3807,132,708.889272030548
"156","ZINC12856340","LSM-1576","MLS000572607","HEPG2",0.319,0.837,2.87e-09,3238,159,717.524912459491
"157","ZINC00706034","LSM-2620","AC1MXYGS","MCF7",0.224,0.874,5.34e-09,1408,373,724.695798249169
"158","ZINC38557782","LSM-6420","AC1MFIS3","NPC",0.256,0.862,4.39e-09,1890,284,732.639065297504
"159","ZINC01068315","LSM-6335","I-BET151","HT29",0.203,0.859,4.22e-09,2054,265,737.773678034124
"160","ZINC20821111","LSM-45291","Conivaptan HCl","YAPC",0.242,0.91,1.1e-08,572,958,740.254010458572
"161","CHEMBL428741","LSM-42868","MLS-0091943.0001","HEPG2",0.229,0.81,2.19e-09,5487,100,740.742870367309
"162","CHEMBL196438","LSM-3513","ZM323881","HCC515",0.287,0.878,5.97e-09,1261,438,743.181000833579
"163","CHEMBL428741","LSM-42868","MLS-0091943.0001","HEPG2",0.229,0.81,2.19e-09,5488,101,744.505204817267
"164","ZINC52627912","LSM-2415","MLS000581978","A549",0.393,0.885,6.74e-09,1056,527,745.997319030035
"165","ZINC14472522","LSM-45461","ACRIVASTINE","HELA",0.215,0.676,7.18e-10,25419,22,747.808799092388
"166","ZINC44710188","LSM-2862","Bithionol","HCC515",0.281,1,1.63e-07,49,11421,748.083551483389
"167","ZINC13816063","LSM-1312","MLS002264405","A549",0.267,0.913,1.19e-08,532,1054,748.817734832716
"168","ZINC39227686","LSM-43248","HG6-64-1","MCF10A",0.23,0.838,3.19e-09,3209,175,749.383079606152
"169","ZINC13816063","LSM-1312","MLS002264405","A549",0.267,0.913,1.19e-08,533,1055,749.876656524258
"170","CHEMBL567331","LSM-2988","CHEMBL1374544","PC3",0.301,1,4.05e-07,31,18221,751.565699057641
"171","ZINC09726042","LSM-4706","F1566-0341","NEU",0.257,0.947,2.53e-08,242,2445,769.213884430072
"172","ZINC12661476","LSM-10830","BRD-K39530782","A375",0.239,0.788,1.82e-09,7798,78,779.899993588922
"173","ZINC04123742","LSM-6366","AC1MEEHF","NKDBA",0.329,1,2.33e-06,21,29217,783.298793564755
"174","ZINC63256706","LSM-2620","AC1MXYGS","MCF7",0.224,0.867,5.26e-09,1690,365,785.397988283647
"175","ZINC41584598","LSM-3649","Purmorphamine","SW620",0.261,0.8,2.08e-09,6398,97,787.785503801638
"176","ZINC27521455","LSM-6453","CHEMDIV1_016684","PC3",0.198,0.874,6.04e-09,1409,445,791.836473016999
"177","ZINC38688313","LSM-45864","BMS-794833","YAPC",0.266,0.943,2.41e-08,272,2337,797.28539432251
"178","ZINC39467095","LSM-15379","SR-2640","MCF7",0.238,0.816,2.52e-09,4893,131,800.614139270598
"179","CHEMBL124660","LSM-5949","Tandutinib","MCF7",0.272,1,1.94e-07,52,12676,811.881764790909
"180","ZINC03882042","LSM-5641","Triamcinolone Acetonide","A375",0.32,1,1.39e-06,25,26600,815.475321515005
"181","ZINC05651672","LSM-5384","Norgestimate","PC3",0.27,1,1.8e-07,55,12143,817.230077762682
"182","CHEMBL124660","LSM-5949","Tandutinib","MCF7",0.272,1,1.94e-07,53,12677,819.683475495267
"183","ZINC39923094","LSM-15379","SR-2640","MCF7",0.238,0.902,1.1e-08,704,959,821.666599053412
"184","ZINC12428805","LSM-45706","LY2801653","A375",0.255,0.897,9.92e-09,803,843,822.75695074548
"185","ZINC13154941","LSM-6366","AC1MEEHF","NKDBA",0.329,1,1.11e-05,20,34004,824.669630821943
"186","ZINC38688537","LSM-45291","Conivaptan HCl","YAPC",0.242,0.927,1.84e-08,391,1752,827.66659954356
"187","ZINC39667484","LSM-2906","Ritanserin","HCC515",0.236,0.707,9.06e-10,20157,34,827.851435947296
"188","ZINC17242863","LSM-2127","LE-135","HCC15",0.292,0.778,1.81e-09,8963,77,830.753272638754
"189","ZINC13880847","LSM-4706","F1566-0341","NEU",0.257,0.947,3.01e-08,243,2920,842.353844889426
"190","ZINC35938710","LSM-38111","BRD-K16046246","A375",0.275,0.74,1.18e-09,14581,49,845.262681064295
"191","CHEMBL607707","LSM-42796","Pelitinib","MCF10A",0.29,1,5.38e-07,35,20436,845.730453513411
"192","CHEMBL101253","LSM-5774","Vatalanib","PC3",0.227,1,8.52e-08,98,7316,846.739629402097
"193","CHEMBL101253","LSM-5774","Vatalanib","PC3",0.227,1,8.52e-08,99,7317,851.106926302448
"194","CHEMBL607707","LSM-42796","Pelitinib","MCF10A",0.29,1,5.38e-07,36,20437,857.748214804321
"195","ZINC39689218","LSM-4052","Benzonatate","A375",0.287,0.87,6.29e-09,1549,475,857.773280068807
"196","CHEMBL39355","LSM-1186","CC-401","HCC515",0.281,0.741,1.23e-09,14408,52,865.572642820925
"197","CHEMBL566559","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.811,2.71e-09,5367,142,872.991408892436
"198","CHEMBL39355","LSM-1186","CC-401","HCC515",0.281,0.741,1.23e-09,14409,53,873.886148190941
"199","CHEMBL566559","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.811,2.71e-09,5368,143,876.141541076555
"200","CHEMBL566559","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.811,2.71e-09,5369,144,879.281524882674
"201","ZINC27744688","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.925,1.98e-08,411,1886,880.42376160574
"202","CHEMBL566559","LSM-45494","AC480 (BMS-599626)","YAPC",0.209,0.811,2.71e-09,5370,145,882.411468647139
"203","ZINC25436810","LSM-1873","MLS002264411","HCC515",0.257,0.933,2.44e-08,330,2362,882.870318903065
"204","ZINC01490299","LSM-6224","SCH-79797","U937",0.268,1,2.03e-07,60,12996,883.040202935291
"205","ZINC02560258","LSM-42804","KN93","NPC",0.295,1,8.63e-07,33,23675,883.897618505673
"206","ZINC43737071","LSM-4900","Hydroxyprogesterone Caproate","HA1E",0.29,0.827,3.5e-09,3952,199,886.819034527338
"207","ZINC08858840","LSM-2415","MLS000581978","A549",0.393,0.903,1.3e-08,674,1175,889.915726347164
"208","ZINC64084201","LSM-3201","MLS-0315803.0001","PC3",0.209,0.675,8.53e-10,25548,31,889.937076427317
"209","ZINC36637713","LSM-1079","TORIN1","HEPG2",0.344,0.895,1.09e-08,833,951,890.046627992039
"210","ZINC09384427","LSM-45837","Tolvaptan","MCF7",0.232,0.778,1.94e-09,9072,88,893.496502511342
"211","ZINC13124174","LSM-4706","F1566-0341","NEU",0.257,0.948,3.48e-08,236,3389,894.317616957197
"212","ZINC12195257","LSM-10554","BRD-K35440818","VCAP",0.183,0.679,8.61e-10,25019,32,894.76700877938
"213","ZINC12572362","LSM-45912","Mozavaptan","YAPC",0.241,0.863,5.94e-09,1844,435,895.622688412928
"214","ZINC12485330","LSM-2332","MLS003568132","A549",0.23,0.883,8.73e-09,1131,711,896.739092490118
"215","ZINC12572362","LSM-45912","Mozavaptan","YAPC",0.241,0.863,5.94e-09,1845,436,896.894642642044
"216","CHEMBL311109","LSM-45582","Flumatinib (mesylate)","YAPC",0.273,0.865,6.25e-09,1741,464,898.790298122983
"217","ZINC08964821","LSM-10830","BRD-K39530782","A375",0.239,0.788,2.2e-09,7799,104,900.608683058297
"218","CHEMBL599047","LSM-45630","SLx-2119","A375",0.192,0.854,5.17e-09,2298,353,900.663089062719
"219","ZINC40008523","LSM-4777","F3284-4453","VCAP",0.269,0.841,4.26e-09,3006,270,900.899550449438
"220","CHEMBL67027","LSM-43030","RG 13022","VCAP",0.322,1,1.04e-05,24,33880,901.731667404445
"221","ZINC11616007","LSM-45401","Maxacalcitol-D6","HA1E",0.253,1,1.59e-07,73,11230,905.422553286586
"222","ZINC09347510","LSM-36629","AK-968/11781209","PHH",0.165,0.74,1.28e-09,14691,56,907.025909222002
"223","ZINC63709773","LSM-1124","MGCD-265","HUVEC",0.283,0.849,4.87e-09,2509,328,907.167018800838
"224","ZINC02154959","LSM-2218","MLS-0257792.0001","A375",0.308,0.906,1.43e-08,630,1311,908.806910184996
"225","ZINC20275552","LSM-12376","BRD-K64622657","MCF7",0.224,0.875,7.55e-09,1379,600,909.615303301346
"226","CHEMBL118109","LSM-2158","3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide","PC3",0.29,1,9.7e-07,34,24439,911.551424769881
"227","ZINC02934512","LSM-43191","Axitinib","HA1E",0.3,0.926,2.17e-08,398,2094,912.914015666317
"228","ZINC21163016","LSM-10418","BRD-K32799329","VCAP",0.245,0.719,1.12e-09,18142,46,913.52723002656
"229","ZINC14477886","LSM-5344","Mocetinostat","PC3",0.374,0.835,4.02e-09,3361,249,914.816375017413
"230","CHEMBL179164","LSM-2218","MLS-0257792.0001","A375",0.308,0.949,3.81e-08,228,3704,918.9733402009
"231","CHEMBL179164","LSM-2218","MLS-0257792.0001","A375",0.308,0.949,3.81e-08,229,3705,921.110742527738
"232","ZINC43781601","LSM-5384","Norgestimate","PC3",0.27,1,2.66e-07,57,14941,922.841806595258
"233","ZINC43162923","LSM-5641","Triamcinolone Acetonide","A375",0.32,1,6.53e-06,26,32819,923.739140666888
"234","ZINC39633767","LSM-40468","BRD-K58490891","A375",0.172,0.725,1.21e-09,17149,50,925.985961016688
"235","ZINC16916844","LSM-1057","MK-2206","A549",0.326,0.916,1.81e-08,504,1719,930.793210117048
"236","ZINC39597842","LSM-41232","SA-1460136","MCF7",0.261,0.68,9.25e-10,24762,35,930.951126536726
"237","ZINC02182013","LSM-45775","SB743921","YAPC",0.268,0.789,2.32e-09,7636,114,933.00803855058
"238","ZINC00343713","LSM-2249","AD-193/42475508","HT29",0.318,1,5.62e-06,27,32416,935.538347690783
"239","ZINC44714707","LSM-39847","BRD-K46532981","VCAP",0.318,0.741,1.43e-09,14359,61,935.89475904078
"240","ZINC63478762","LSM-36705","NCGC00170564-01","NPC",0.201,0.73,1.25e-09,16304,54,938.304854511581
