User-added Candidate,LINCS Analog,LINCS Analog Name,Cell Line,Concordance,Similarity
ZINC49671923,LSM-4567,"3,4'-Dimethoxyflavone",ASC,0.187,0.98
ZINC20780158,LSM-4052,Benzonatate,A375,0.287,0.979
ZINC61397545,LSM-2829,"2-(2,5-Dimethoxyphenylcarbamoyl)phenyl acetate",A549,0.254,0.977
ZINC06824174,LSM-5712,"24(S),25-epoxycholesterol",PC3,0.252,0.977
ZINC36371593,LSM-5712,"24(S),25-epoxycholesterol",PC3,0.252,0.977
ZINC39139550,LSM-4718,BCB03_000734,MCF7,0.245,0.977
CHEMBL172652,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.977
CHEMBL172652,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.977
CHEMBL172652,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.977
CHEMBL447331,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.977
CHEMBL447331,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.977
ZINC08952121,LSM-25606,Betulin,MCF7,0.234,0.977
ZINC35494006,LSM-25606,Betulin,MCF7,0.234,0.977
ZINC39861537,LSM-43131,ST50973695,HCC515,0.23,0.977
ZINC06602277,LSM-4238,MLS000394288,HT29,0.225,0.977
CHEMBL1172843,LSM-1675,MLS002264406,HA1E,0.2,0.977
ZINC17028927,LSM-2401,Digitoxigenin,MCF7,0.209,0.975
ZINC08559725,LSM-2266,MLS000081884,HT29,0.312,0.974
ZINC00398957,LSM-2145,MLS-0425616.0001,PC3,0.307,0.974
ZINC55631512,LSM-3812,SB258585,A549,0.281,0.974
ZINC36260603,LSM-45755,Docosanoic acid,HELA,0.263,0.974
ZINC17907812,LSM-1936,Indapamide,PC3,0.242,0.974
CHEMBL53711,LSM-3069,171179-06-9,HT29,0.17,0.974
ZINC18253841,LSM-3667,IMD-0354,HCT116,0.281,0.973
ZINC04276755,LSM-5738,"3,5-Diiodo-l-thyronine",MCF7,0.251,0.973
ZINC34074931,LSM-42857,Jatamansin,PC3,0.239,0.973
ZINC67438760,LSM-1732,Liquiritigenin Dimethyl Ether,HT29,0.227,0.973
ZINC44762977,LSM-3534,Dicyclomine,HCC515,0.221,0.973
ZINC36984729,LSM-4803,N-(5-Chloro-2-hydroxyphenyl)-2-ethoxybenzamide,VCAP,0.209,0.973
ZINC49514765,LSM-4693,AC1MQIYX,HA1E,0.261,0.972
ZINC66588465,LSM-3179,MLS002554298,A549,0.249,0.972
ZINC35806699,LSM-1243,SPECTRUM_000826,VCAP,0.237,0.971
ZINC66801206,LSM-36824,AC1MFX8K,SKM1,0.229,0.971
ZINC35462892,LSM-1451,Mitotane,NPC,0.224,0.971
ZINC17013486,LSM-45392,Epitiostanol,HELA,0.219,0.971
ZINC21517370,LSM-37220,ZINC00263037,PC3,0.242,0.969
ZINC35255680,LSM-45303,"R,S-equol",MCF7,0.196,0.969
ZINC34979388,LSM-45303,"R,S-equol",MCF7,0.196,0.969
ZINC34981040,LSM-45303,"R,S-equol",MCF7,0.196,0.969
ZINC09477665,LSM-45706,LY2801653,A375,0.255,0.968
CHEMBL368234,LSM-5381,Neurodazine,MCF7,0.201,0.968
ZINC21509261,LSM-4644,SMR000075623,MCF7,0.167,0.968
CHEMBL179363,LSM-42778,Neratinib,YAPC,0.323,0.966
CHEMBL179363,LSM-42778,Neratinib,YAPC,0.323,0.966
CHEMBL179313,LSM-42778,Neratinib,YAPC,0.323,0.966
CHEMBL179313,LSM-42778,Neratinib,YAPC,0.323,0.966
ZINC18144576,LSM-1312,MLS002264405,A549,0.267,0.966
ZINC00333975,LSM-1873,MLS002264411,HCC515,0.257,0.966
ZINC21981441,LSM-3736,Triamcinolone,A375,0.241,0.966
ZINC40371578,LSM-3775,NSC665366,A549,0.224,0.966
CHEMBL337026,LSM-1103,Staurosporine,A549,0.377,0.965
CHEMBL337026,LSM-1103,Staurosporine,A549,0.377,0.965
CHEMBL338049,LSM-1103,Staurosporine,A549,0.377,0.965
CHEMBL338049,LSM-1103,Staurosporine,A549,0.377,0.965
ZINC13741543,LSM-45705,Siramesine (hydrochloride),PC3,0.223,0.965
ZINC64815148,LSM-36681,ST004815,HUH7,0.207,0.964
ZINC36678316,LSM-37227,Tributyltin Chloride,HA1E,0.269,0.963
ZINC51347654,LSM-1280,SPECTRUM_001095,MCF7,0.231,0.963
ZINC37327700,LSM-4625,ST056792,NPC,0.322,0.962
ZINC39672951,LSM-4172,GW7647,HA1E,0.246,0.962
ZINC05276009,LSM-5760,Glycodeoxycholate,FIBRNPC,0.345,0.961
ZINC06668183,LSM-2075,SB-222200,MCF7,0.26,0.959
CHEMBL179652,LSM-4255,Dactolisib,MCF7,0.347,0.958
CHEMBL179652,LSM-4255,Dactolisib,MCF7,0.347,0.958
CHEMBL291514,LSM-1098,Gefitinib,SKBR3,0.332,0.957
ZINC13450622,LSM-5353,Chenodiol,VCAP,0.253,0.957
CHEMBL179577,LSM-42778,Neratinib,YAPC,0.323,0.956
CHEMBL179577,LSM-42778,Neratinib,YAPC,0.323,0.956
ZINC27564096,LSM-1873,MLS002264411,HCC515,0.257,0.956
ZINC27564093,LSM-1873,MLS002264411,HCC515,0.257,0.956
CHEMBL93051,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.956
ZINC39487337,LSM-4396,Procyclidine,VCAP,0.186,0.956
ZINC39487338,LSM-4396,Procyclidine,VCAP,0.186,0.956
CHEMBL56142,LSM-1098,Gefitinib,SKBR3,0.332,0.955
CHEMBL299672,LSM-1098,Gefitinib,SKBR3,0.332,0.955
CHEMBL179633,LSM-42778,Neratinib,YAPC,0.323,0.955
CHEMBL179633,LSM-42778,Neratinib,YAPC,0.323,0.955
ZINC03953857,LSM-1891,MLS002607806,VCAP,0.248,0.954
ZINC25501883,LSM-1547,MLS002607805,VCAP,0.231,0.952
ZINC09229697,LSM-2749,N-(4-Fluorophenyl)-4-[hydroxy(diphenyl)methyl]piperidine-1-carbothioamide,A375,0.218,0.951
ZINC39461674,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC38717128,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC43111668,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC39628057,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC39628512,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC39628440,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC12446113,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC39672908,LSM-45755,Docosanoic acid,HELA,0.263,0.95
ZINC58666291,LSM-2634,PNU-282987,PHH,0.164,0.95
CHEMBL179164,LSM-2218,MLS-0257792.0001,A375,0.308,0.949
CHEMBL179164,LSM-2218,MLS-0257792.0001,A375,0.308,0.949
ZINC40267900,LSM-2145,MLS-0425616.0001,PC3,0.307,0.949
ZINC06885291,LSM-4317,CHEMBL599255,ASC,0.205,0.949
CHEMBL217090,LSM-1032,Saracatinib,ASC,0.32,0.948
CHEMBL359630,LSM-2218,MLS-0257792.0001,A375,0.308,0.948
CHEMBL359630,LSM-2218,MLS-0257792.0001,A375,0.308,0.948
CHEMBL359630,LSM-2218,MLS-0257792.0001,A375,0.308,0.948
ZINC13124174,LSM-4706,F1566-0341,NEU,0.257,0.948
ZINC38688535,LSM-45291,Conivaptan HCl,YAPC,0.242,0.948
ZINC03234670,LSM-2415,MLS000581978,A549,0.393,0.947
CHEMBL180227,LSM-4255,Dactolisib,MCF7,0.347,0.947
CHEMBL180227,LSM-4255,Dactolisib,MCF7,0.347,0.947
ZINC19645922,LSM-2218,MLS-0257792.0001,A375,0.308,0.947
ZINC09726042,LSM-4706,F1566-0341,NEU,0.257,0.947
ZINC13880847,LSM-4706,F1566-0341,NEU,0.257,0.947
ZINC33763234,LSM-4706,F1566-0341,NEU,0.257,0.947
ZINC09184127,LSM-1350,Carprofen,HT29,0.247,0.947
ZINC36331224,LSM-3534,Dicyclomine,HCC515,0.221,0.947
ZINC08443841,LSM-5381,Neurodazine,MCF7,0.201,0.947
ZINC00301690,LSM-5642,Monobenzone,PC3,0.165,0.947
CHEMBL472581,LSM-1051,Lapatinib,PC3,0.344,0.946
CHEMBL472581,LSM-1051,Lapatinib,PC3,0.344,0.946
ZINC63627870,LSM-4706,F1566-0341,NEU,0.257,0.946
ZINC08951912,LSM-4706,F1566-0341,NEU,0.257,0.946
ZINC62824369,LSM-4882,MLS-0315771.0002,SKB,0.221,0.946
ZINC03237135,LSM-5381,Neurodazine,MCF7,0.201,0.946
ZINC02301926,LSM-1873,MLS002264411,HCC515,0.257,0.945
ZINC02301925,LSM-1873,MLS002264411,HCC515,0.257,0.945
ZINC44175653,LSM-2708,SMR000178575,HA1E,0.236,0.945
ZINC33051197,LSM-5381,Neurodazine,MCF7,0.201,0.945
ZINC33051203,LSM-5381,Neurodazine,MCF7,0.201,0.945
ZINC38647792,LSM-4923,BIX-01338,MCF7,0.169,0.945
CHEMBL515082,LSM-3800,CHEMBL453376,HCC515,0.341,0.944
CHEMBL515082,LSM-3800,CHEMBL453376,HCC515,0.341,0.944
ZINC03277857,LSM-4036,MLS000526305,HT29,0.279,0.944
ZINC36153798,LSM-4945,"4-(3-Ethyl[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)aniline",PC3,0.237,0.944
ZINC58828583,LSM-36824,AC1MFX8K,SKM1,0.229,0.944
ZINC55079726,LSM-3534,Dicyclomine,HCC515,0.221,0.944
ZINC42942501,LSM-11701,BRD-K53867540,VCAP,0.2,0.944
ZINC42958246,LSM-11701,BRD-K53867540,VCAP,0.2,0.944
ZINC09201843,LSM-44636,K114,NEU,0.18,0.944
CHEMBL426051,LSM-42778,Neratinib,YAPC,0.323,0.943
CHEMBL426051,LSM-42778,Neratinib,YAPC,0.323,0.943
ZINC38688313,LSM-45864,BMS-794833,YAPC,0.266,0.943
ZINC05443971,LSM-5550,Pregnenolone,MCF7,0.263,0.943
ZINC12379233,LSM-5550,Pregnenolone,MCF7,0.263,0.943
ZINC04712975,LSM-5550,Pregnenolone,MCF7,0.263,0.943
ZINC04712975,LSM-5550,Pregnenolone,MCF7,0.263,0.943
ZINC39659932,LSM-4172,GW7647,HA1E,0.246,0.943
ZINC39678156,LSM-4172,GW7647,HA1E,0.246,0.943
ZINC02623205,LSM-1686,Siguazodan,HELA,0.266,0.941
ZINC15203270,LSM-3653,NB-Acetyltryptamine,ASC,0.184,0.941
ZINC04731443,LSM-5232,ST50982848,MCF7,0.269,0.94
ZINC20672606,LSM-5232,ST50982848,MCF7,0.269,0.94
ZINC36371548,LSM-45816,Sarsasapogenin,YAPC,0.239,0.94
ZINC02242448,LSM-1521,OMDM-2,VCAP,0.225,0.94
ZINC04301894,LSM-1521,OMDM-2,VCAP,0.225,0.94
ZINC43758110,LSM-5371,Lithocholic acid,MCF7,0.301,0.939
CHEMBL95774,LSM-1120,Canertinib,HCC515,0.295,0.939
CHEMBL95774,LSM-1120,Canertinib,HCC515,0.295,0.939
ZINC36936422,LSM-5232,ST50982848,MCF7,0.269,0.939
ZINC37324013,LSM-45632,Diclofensine (hydrochloride),MCF7,0.257,0.939
ZINC13467057,LSM-45807,Dehydroepiandrosterone (DHEA),PC3,0.224,0.939
ZINC20557192,LSM-45303,"R,S-equol",MCF7,0.196,0.939
ZINC37060033,LSM-2861,BCL-2 Inhibitor,MCF7,0.301,0.938
ZINC27640951,LSM-45599,Dinoprost,YAPC,0.269,0.938
ZINC43772188,LSM-45599,Dinoprost,YAPC,0.269,0.938
ZINC08043624,LSM-45387,,MCF7,0.258,0.938
ZINC01867836,LSM-45291,Conivaptan HCl,YAPC,0.242,0.938
ZINC20238752,LSM-45291,Conivaptan HCl,YAPC,0.242,0.938
ZINC39541761,LSM-45291,Conivaptan HCl,YAPC,0.242,0.938
ZINC51149403,LSM-37220,ZINC00263037,PC3,0.242,0.938
ZINC37131385,LSM-37220,ZINC00263037,PC3,0.242,0.938
ZINC58878431,LSM-1305,Norketamine,HCC515,0.236,0.938
ZINC61699512,LSM-19955,Clofoctol,YAPC,0.188,0.938
ZINC61699819,LSM-19955,Clofoctol,YAPC,0.188,0.938
ZINC52840275,LSM-19955,Clofoctol,YAPC,0.188,0.938
CHEMBL178096,LSM-1113,"N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",HA1E,0.309,0.937
CHEMBL178096,LSM-1113,"N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",HA1E,0.309,0.937
ZINC12367939,LSM-4706,F1566-0341,NEU,0.257,0.937
ZINC02139532,LSM-42689,Fcodpguefhccia-Uhfffaoysa-N,RMUGS,0.251,0.937
ZINC02139535,LSM-42689,Fcodpguefhccia-Uhfffaoysa-N,RMUGS,0.251,0.937
CHEMBL168915,LSM-2415,MLS000581978,A549,0.393,0.936
ZINC15906006,LSM-42689,Fcodpguefhccia-Uhfffaoysa-N,RMUGS,0.251,0.936
CHEMBL516979,LSM-45421,PD153035 (Hydrochloride),HELA,0.236,0.936
ZINC01822324,LSM-2415,MLS000581978,A549,0.393,0.935
CHEMBL1090357,LSM-1201,NVP-BHG712,PC3,0.345,0.935
ZINC44784265,LSM-2171,Tremorine,HT29,0.299,0.935
ZINC16953249,LSM-1643,AC1NWAJL,VCAP,0.282,0.935
ZINC15015686,LSM-4706,F1566-0341,NEU,0.257,0.935
ZINC09408794,LSM-4706,F1566-0341,NEU,0.257,0.935
ZINC15227830,LSM-4706,F1566-0341,NEU,0.257,0.935
ZINC38189387,LSM-42689,Fcodpguefhccia-Uhfffaoysa-N,RMUGS,0.251,0.935
ZINC63926032,LSM-36861,Sirtinol,NPC,0.22,0.935
ZINC33051199,LSM-5381,Neurodazine,MCF7,0.201,0.935
ZINC33051491,LSM-5381,Neurodazine,MCF7,0.201,0.935
ZINC33051500,LSM-5381,Neurodazine,MCF7,0.201,0.935
ZINC33051502,LSM-5381,Neurodazine,MCF7,0.201,0.935
ZINC12318649,LSM-4923,BIX-01338,MCF7,0.169,0.935
ZINC40568248,LSM-4899,ST014147,VCAP,0.285,0.933
ZINC07343692,LSM-4899,ST014147,VCAP,0.285,0.933
ZINC25436810,LSM-1873,MLS002264411,HCC515,0.257,0.933
ZINC25436813,LSM-1873,MLS002264411,HCC515,0.257,0.933
ZINC20413831,LSM-1873,MLS002264411,HCC515,0.257,0.933
ZINC53457964,LSM-45739,,YAPC,0.174,0.933
ZINC00631023,LSM-6186,STK064652,PC3,0.341,0.932
CHEMBL176199,LSM-42778,Neratinib,YAPC,0.323,0.932
CHEMBL176199,LSM-42778,Neratinib,YAPC,0.323,0.932
ZINC04592814,LSM-4899,ST014147,VCAP,0.285,0.932
ZINC06239429,LSM-4899,ST014147,VCAP,0.285,0.932
CHEMBL194349,LSM-3112,SRC Kinase Inhibitor I,VCAP,0.266,0.932
ZINC05800904,LSM-1194,TIE2 Kinase Inhibitor,NEU,0.244,0.932
ZINC12653448,LSM-25606,Betulin,MCF7,0.234,0.932
ZINC12294054,LSM-1627,MLS-0351065.0001,HT29,0.232,0.932
ZINC02406950,LSM-43087,ST072947,NPC,0.284,0.931
ZINC16883315,LSM-43087,ST072947,NPC,0.284,0.931
ZINC12498285,LSM-4655,ZINC01181459,VCAP,0.291,0.93
CHEMBL24138,LSM-1199,Vandetanib,MCF7,0.291,0.93
CHEMBL24138,LSM-1199,Vandetanib,MCF7,0.291,0.93
ZINC27646548,LSM-42986,Calcipotriene,A549,0.277,0.93
ZINC43772690,LSM-42986,Calcipotriene,A549,0.277,0.93
ZINC45789076,LSM-42986,Calcipotriene,A549,0.277,0.93
ZINC37941962,LSM-4400,NSC667463,PC3,0.318,0.929
ZINC35258432,LSM-4353,Perhexiline,MCF7,0.313,0.929
ZINC36151325,LSM-2618,Chloroguanide,A549,0.298,0.929
ZINC08845533,LSM-4899,ST014147,VCAP,0.285,0.929
ZINC61821748,LSM-37227,Tributyltin Chloride,HA1E,0.269,0.929
ZINC63230449,LSM-2705,SMR001317718,VCAP,0.252,0.929
ZINC36553493,LSM-42689,Fcodpguefhccia-Uhfffaoysa-N,RMUGS,0.251,0.929
ZINC67387206,LSM-43264,Ibutilide,YAPC,0.249,0.929
ZINC39672940,LSM-42935,Oleoylethanolamide,HEPG2,0.202,0.929
ZINC59795118,LSM-45320,,HEPG2,0.195,0.929
ZINC18081235,LSM-45815,Tasquinimod,MCF7,0.186,0.929
ZINC18081235,LSM-45815,Tasquinimod,MCF7,0.186,0.929
ZINC20149808,LSM-2218,MLS-0257792.0001,A375,0.308,0.928
ZINC19853962,LSM-2218,MLS-0257792.0001,A375,0.308,0.928
CHEMBL178199,LSM-45291,Conivaptan HCl,YAPC,0.242,0.928
CHEMBL178199,LSM-45291,Conivaptan HCl,YAPC,0.242,0.928
ZINC14867951,LSM-3812,SB258585,A549,0.281,0.927
ZINC39633523,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC51687842,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39672858,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39628306,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39628436,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39628618,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39628619,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39630766,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39683466,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39689085,LSM-45755,Docosanoic acid,HELA,0.263,0.927
ZINC39669680,LSM-45755,Docosanoic acid,HELA,0.263,0.927
