"LINCS Candidate Name","Candidate LSM ID","Cell Line","Concordance"
"BRD-K65315692","LSM-40839","VCAP",0.379
"AC1NDD0L","LSM-3551","VCAP",0.378
"BRD-K79732306","LSM-14941","VCAP",0.378
"Staurosporine","LSM-1103","A549",0.377
"A-443654","LSM-1045","A549",0.376
"Menadione","LSM-3755","NPC",0.376
"BRD-K54343811","LSM-44966","HA1E",0.376
"SCHEMBL13991002","LSM-6278","MDST8",0.375
"Mocetinostat","LSM-5344","PC3",0.374
"ML7","LSM-4095","VCAP",0.374
"AC1OCDAW","LSM-1622","HCC515",0.374
"MLS000583963","LSM-1362","A549",0.373
"BRD-K06718821","LSM-43446","VCAP",0.372
"CHEMBL489621","LSM-4059","PC3",0.372
"BRL50481","LSM-3887","VCAP",0.372
"PD-98059","LSM-3394","VCAP",0.371
"BRD-K07594626","LSM-8883","VCAP",0.371
"BRD-K15126665","LSM-38053","VCAP",0.371
"Cnqx","LSM-3184","A375",0.371
"BRD-K19668893","LSM-38327","VCAP",0.37
"CHEMBL262079","LSM-1355","A549",0.37
"RG 108","LSM-6283","MCF7",0.37
"Oxalomalicacid","LSM-5156","MCF7",0.37
"SA-427228","LSM-40586","NKDBA",0.37
"BRD-K96170115","LSM-42490","VCAP",0.369
"ST50851843","LSM-4704","A549",0.369
"19-Norethindrone acetate","LSM-37246","PC3",0.369
"MW-SHH-61","LSM-44611","HT29",0.369
"BRD-K83631404","LSM-7925","VCAP",0.369
"BRD-K06296238","LSM-15105","VCAP",0.369
"KUC103424N","LSM-1876","PC3",0.369
"MLS001065853","LSM-4037","PC3",0.369
"TL_HRAS26","LSM-2013","A375",0.368
"BRD-K63476888","LSM-40745","VCAP",0.368
"Curcumin","LSM-43083","A549",0.368
"BRD-K67697926","LSM-12552","VCAP",0.368
"PF-04217903","LSM-1166","MCF7",0.367
"BRD-K51849024","LSM-11603","A549",0.367
"CHEMBL3187962","LSM-6081","PC3",0.367
"6-Azauridine","LSM-37135","A549",0.367
"CHEMBL2203528","LSM-36795","THP1",0.367
"Parachlorophenol","LSM-2913","VCAP",0.367
"BRD-K69603398","LSM-41060","A375",0.367
"T6576678","LSM-3350","PC3",0.366
"MLS002264499","LSM-1853","PC3",0.366
"Atomoxetine","LSM-2452","A549",0.366
"BRD-K60944301","LSM-40605","A549",0.366
"Pantoprazole","LSM-1390","MCF7",0.366
"UNII-5308DT8060","LSM-2244","A375",0.366
"HSCI1_000191","LSM-3624","VCAP",0.365
"Flufenamic acid","LSM-2973","A549",0.365
"Dasatinib","LSM-1020","MCF10A",0.365
"AC1N3FUV","LSM-3480","A549",0.365
"CHEMBL2139291","LSM-41642","VCAP",0.365
"SA-90030","LSM-39304","NKDBA",0.364
"AT-7519","LSM-1004","A549",0.364
"BRD-K33449128","LSM-39103","MCF7",0.364
"BRD-K41513507","LSM-39567","MCF7",0.364
"Tangeretin","LSM-2548","VCAP",0.364
"PF-562271","LSM-1072","A549",0.363
"Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate","LSM-4955","MCF7",0.363
"CAY10585","LSM-5939","A549",0.362
"Tyrphostin B7","LSM-42938","VCAP",0.362
"1-(4-Bromophenyl)-3-morpholin-4-yl-2-phenylpropan-1-one","LSM-4836","A549",0.362
"BRD-K48598367","LSM-11388","A549",0.362
"Sirolimus","LSM-42783","VCAP",0.362
"Aristolochic acid","LSM-2373","A375",0.362
"BRD-K07531476","LSM-37679","VCAP",0.362
"BRD-K70595525","LSM-36820","MCF7",0.362
"PD-407824","LSM-3862","NPC",0.362
"Bicalutamide","LSM-1437","VCAP",0.362
"Epirubicin","LSM-2078","PC3",0.361
"Phenothiazine","LSM-3324","HCT116",0.361
"KUC104488","LSM-3439","MCF7",0.361
"Bosutinib","LSM-1190","HA1E",0.36
"BRD-K38294617","LSM-39374","MCF7",0.36
"MEGXM0_000032","LSM-4453","A549",0.36
"Linagliptin","LSM-45916","PC3",0.36
"CHEMBL1271321","LSM-3298","HCC515",0.36
"JNK-IN-2","LSM-43288","MDAMB231",0.36
"NU1025","LSM-4643","MCF7",0.36
"Nisoxetine","LSM-1934","HT29",0.359
"H 8","LSM-2410","A549",0.359
"BRD-K55155550","LSM-40290","A549",0.359
"Sirolimus","LSM-42782","HCC515",0.359
"C-Fms Inhibitor","LSM-1196","PC3",0.359
"YL-61","LSM-44650","HT29",0.359
"AKT Inhibitor VIII","LSM-1035","SKMEL28",0.358
"BRD-K96640811","LSM-29346","A549",0.358
"AC1O9CBL","LSM-4596","MCF7",0.358
"Terazosin","LSM-4997","HCC515",0.358
"CHROMOMYCIN-A3","LSM-4968","MCF7",0.358
"(Z) Fluvoxamine","LSM-3625","A549",0.358
"BRD-K87440499","LSM-42035","VCAP",0.358
"MLS001033149","LSM-6634","A549",0.357
"T6241472","LSM-3654","MCF7",0.357
"BRD-K54636101","LSM-11747","VCAP",0.357
"MLS001065843","LSM-1459","VCAP",0.357
"BRD-K36796217","LSM-10655","VCAP",0.357
"SCHEMBL10583556","LSM-1657","A549",0.357
"1-((4-Nitrophenyl)sulfonyl)-1H-benzimidazol-2-amine","LSM-4100","A549",0.357
"BRD-K45231869","LSM-7419","VCAP",0.356
"BRD-K61683215","LSM-12168","VCAP",0.356
"Triazolothiadiazine, 8","LSM-3227","A375",0.356
"BRD-K25485361","LSM-38661","VCAP",0.356
"Zardaverine","LSM-2833","VCAP",0.356
"ZK 756326","LSM-3253","A549",0.356
"BRD-K16782389","LSM-9444","A549",0.356
"BRD-K93738295","LSM-14180","VCAP",0.355
"Idarubicin","LSM-5769","PC3",0.355
"Tianeptine","LSM-1626","A549",0.355
"GR-79236","LSM-2899","A549",0.355
"Coumestrol","LSM-4202","HA1E",0.355
"BRD-K19914944","LSM-6825","VCAP",0.355
"BRD-K73439593","LSM-41260","VCAP",0.355
"Tebuthiuron","LSM-2761","A549",0.355
"AKT Inhibitor V, Triciribine","LSM-1546","A549",0.354
"BAS 01052444","LSM-4602","HCC515",0.354
"CHEMBL2357823","LSM-6125","VCAP",0.354
"C29H35NO2","LSM-1569","A549",0.354
"JNJ 10191584","LSM-2328","VCAP",0.354
"AC1NWAOX","LSM-1520","HEPG2",0.354
"BRD-K06574200","LSM-15021","PC3",0.354
"BRD-K72913953","LSM-41228","VCAP",0.354
"LY-320135","LSM-3770","VCAP",0.354
"SCHEMBL17497838","LSM-44600","HT29",0.354
"AC1O9X68","LSM-6647","A549",0.354
"BRD-K15392449","LSM-9348","VCAP",0.354
"BRD-K31310964","LSM-7255","VCAP",0.354
"AC1OKTU0","LSM-42945","HT29",0.354
"Pinacidil","LSM-1557","A375",0.354
"AC1NXRFO","LSM-43270","MCF7",0.354
"(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid","LSM-5532","HEPG2",0.353
"Meractinomycin","LSM-42703","VCAP",0.353
"Nizatidine","LSM-42962","A549",0.353
"BRD-A24396574-001-01-5","LSM-5006","HME1",0.353
"CHEMBL1616521","LSM-1793","A549",0.353
"Homochlorcyclizine","LSM-1394","HA1E",0.353
"L741,626","LSM-2088","VCAP",0.353
"Hyoscine N-Oxide","LSM-1606","A549",0.353
"BRD-K78032863","LSM-41531","A549",0.353
"BRD-K15849229","LSM-7063","VCAP",0.353
"BRD-K28288650","LSM-15080","NKDBA",0.353
"MLS003129247","LSM-7830","VCAP",0.352
"CHEMBL3188521","LSM-3435","A549",0.352
"CHEMBL1208118","LSM-3598","A549",0.352
"Rottlerin","LSM-42845","NPC",0.352
"RHC80267","LSM-3249","A375",0.352
"SCHEMBL14379041","LSM-43082","SNU1040",0.352
"BMS-345541","LSM-1028","A549",0.352
"Dyclonine","LSM-5801","MCF7",0.352
"2-[(2,6-Dimethylphenyl)amino]-n,n-diethyl-n-methyl-2-oxoethanaminium","LSM-3339","A549",0.352
"CHEMBL2152359","LSM-44603","MCF7",0.352
"MLS003128610","LSM-3191","MCF7",0.352
"BRD-K89020690","LSM-42122","VCAP",0.352
"BRD-K86846131","LSM-13754","VCAP",0.352
"Scoulerine","LSM-3391","A549",0.351
"BRD-K59159285","LSM-40504","VCAP",0.351
"BRD-K58611676","LSM-40477","VCAP",0.351
"BRD-K76915833","LSM-41472","VCAP",0.351
"SR3335","LSM-2456","VCAP",0.351
"Naringenin","LSM-1927","A549",0.351
"BRD-K02208014","LSM-37397","VCAP",0.351
"Withaferin A","LSM-6685","A549",0.351
"IWR-1-ENDO","LSM-5707","A549",0.351
"AS601245","LSM-1034","HEPG2",0.351
"BRD-K32585359","LSM-39064","VCAP",0.351
"VU0447126-2","LSM-1381","A375",0.351
"BRD-K53640012","LSM-40218","VCAP",0.351
"Benperidol","LSM-3792","VCAP",0.351
"Dexbrompheniramine","LSM-5386","VCAP",0.351
"BRD-K74868206","LSM-41348","MCF7",0.351
"AC1L5AAF","LSM-3523","A549",0.351
"MLS001065867","LSM-3375","VCAP",0.35
"Bisindolylmaleimide IX","LSM-2125","A549",0.35
"Pramipexole","LSM-5243","HT29",0.35
"BRD-K74671783","LSM-13005","MCF7",0.35
"BRD-K31887147","LSM-2691","A375",0.35
"BX-795","LSM-1189","PC3",0.35
"7-[4-(2-Hydroxyphenyl)-2-(trifluoromethyl)-1,3-dioxan-5-yl]hept-5-enoic acid","LSM-1619","HCC515",0.35
"Lestaurtinib","LSM-1231","MCF7",0.349
"Levodopa","LSM-5481","MCF7",0.349
"BRD-K25362512","LSM-9969","VCAP",0.349
"MLS000583956","LSM-1515","NPC",0.349
"NONOXYNOL 9","LSM-3971","SKB",0.349
"Betulinic acid","LSM-3004","VCAP",0.349
"BRD-K31752292","LSM-39004","A549",0.349
"BMS-387032","LSM-1132","MDAMB231",0.349
"Leflunomide","LSM-3771","VCAP",0.349
"CHEMBL2361659","LSM-6755","A549",0.349
"BRD-K85413794","LSM-15060","PC3",0.349
"T091317","LSM-2509","HA1E",0.349
"Ketotifen","LSM-2637","A549",0.349
"SA-102676","LSM-41156","MCF7",0.348
"Vapiprost","LSM-42842","VCAP",0.348
"MLS000519739","LSM-1849","PC3",0.348
"MEGXP0_000831","LSM-43078","A549",0.348
"CHEMBL566061","LSM-3574","VCAP",0.348
"BRD-K63164430","LSM-12270","VCAP",0.348
"BRD-K86671899","LSM-13737","A549",0.348
"MLS-0390943.0001","LSM-2274","VCAP",0.348
"Dinaciclib","LSM-6306","A549",0.348
"BRD-K13005651","LSM-37942","VCAP",0.348
"MLS001065881","LSM-3626","MCF7",0.348
"3,4-Dimethoxyphenethylamine","LSM-5691","A549",0.348
"Beta-Narcotine","LSM-4043","VCAP",0.348
"BRD-K76418961","LSM-41447","VCAP",0.348
"GSK-0660","LSM-6014","MCF7",0.348
"BRD-K58945843","LSM-11988","VCAP",0.347
"SCHEMBL17497626","LSM-44605","HT29",0.347
"MLS003129266","LSM-8103","VCAP",0.347
"SU-11652","LSM-43098","HA1E",0.347
"CHIR-99021","LSM-1181","MCF10A",0.347
"BRD-K12981857","LSM-9202","VCAP",0.347
"Apigenin","LSM-5206","MCF7",0.347
"Dactolisib","LSM-4255","MCF7",0.347
"Pargyline","LSM-3878","VCAP",0.347
"MLS001065873","LSM-3319","VCAP",0.347
"BRD-K08461556","LSM-37733","VCAP",0.346
"BRD-K30468438","LSM-10266","VCAP",0.346
"BRD-K76904146","LSM-13136","VCAP",0.346
"BRD-K02654447","LSM-43606","VCAP",0.346
"BRD-K98004941","LSM-42580","VCAP",0.346
"Totaralolal","LSM-1625","SKB",0.346
"N9-Isopropylolomoucine","LSM-3607","VCAP",0.346
"CHEMBL2132289","LSM-1044","BT20",0.346
"BRD-K94034047","LSM-15172","VCAP",0.345
"Glycodeoxycholate","LSM-5760","FIBRNPC",0.345
"Trifluoperazine","LSM-4010","MCF7",0.345
"NVP-BHG712","LSM-1201","PC3",0.345
"Fluspirilene","LSM-3748","MDST8",0.345
"PG 490","LSM-6185","HT29",0.345
"Midostaurin","LSM-2287","VCAP",0.345
"C24H25CLFN5O3","LSM-42794","SKBR3",0.345
"Fccp","LSM-2317","A549",0.345
"Fumonisin-B1","LSM-6190","HCT116",0.345
"Calmidazolium","LSM-5017","HEPG2",0.344
"BRD-K22052171","LSM-9763","A549",0.344
"SA-90471","LSM-39037","MCF7",0.344
"Oxindole I","LSM-42977","ASC",0.344
"BRD-K46120075","LSM-11239","VCAP",0.344
"Lapatinib","LSM-1051","PC3",0.344
"TORIN1","LSM-1079","HEPG2",0.344
"CHEMBL566495","LSM-3726","A549",0.344
"Vesamicol","LSM-2313","A375",0.344
"BRD-K57502578","LSM-11909","A549",0.344
"BRD-K68749296","LSM-12623","MCF7",0.344
"Pictilisib","LSM-1047","MCF10A",0.344
"D-Erythro-MAPP","LSM-2195","VCAP",0.344
"KUC103656","LSM-2531","A375",0.344
"NCGC00238543-01","LSM-1522","A375",0.344
"MLS003179190","LSM-3441","HCC515",0.344
"Zaleplon","LSM-5971","YAPC",0.344
"CHEMBL1270705","LSM-3533","PC3",0.343
"Prazosin","LSM-3079","VCAP",0.343
"CHEMBL2136392","LSM-6835","VCAP",0.343
"SCHEMBL17497583","LSM-44604","HA1E",0.343
"GR 79236","LSM-36452","A375",0.343
"MLS001060823","LSM-1957","MCF7",0.343
"SCHEMBL1675329","LSM-3821","VCAP",0.343
"BRD-K41571462","LSM-10953","A375",0.343
"NKP608","LSM-45650","HELA",0.343
"U-0126","LSM-42807","A549",0.342
"CHEMBL1270112","LSM-3714","A375",0.342
"PIK 75","LSM-44948","HA1E",0.342
"BRD-K89266502","LSM-13923","VCAP",0.342
"CHEMBL2362834","LSM-6832","MCF7",0.342
"CHEMBL2140107","LSM-6099","VCAP",0.342
"Veliparib","LSM-1146","NPC",0.342
"ST085375","LSM-4666","HEPG2",0.342
"BRD-K91731568","LSM-42266","VCAP",0.342
"869288-64-2","LSM-1200","MCF7",0.342
"BRD-K08339178","LSM-37725","A375",0.342
"Ponatinib","LSM-1151","MDAMB231",0.342
"BRD-K92028820","LSM-14083","VCAP",0.342
"CVF-SUMO-13","LSM-4834","VCAP",0.341
"BRD-K87920375","LSM-13827","VCAP",0.341
"Btcp","LSM-4551","A549",0.341
"GSK-2334470","LSM-1222","HA1E",0.341
"MLS002264386","LSM-3916","VCAP",0.341
"Dids","LSM-43086","A549",0.341
"CHEMBL453376","LSM-3800","HCC515",0.341
"ZSTK 474","LSM-1053","HT29",0.341
"STK064652","LSM-6186","PC3",0.341
"Albendazole","LSM-3782","PC3",0.341
"BRD-K89631978","LSM-13957","VCAP",0.341
"Pheniramine","LSM-1397","VCAP",0.341
"Isoreserpine","LSM-2816","HA1E",0.341
"Fenobam","LSM-2917","A549",0.341
"AG 14361","LSM-1988","MCF7",0.341
"Ecopipam","LSM-4115","VCAP",0.341
"Bromhexine","LSM-3048","A549",0.341
"BRD-K44916273","LSM-11162","VCAP",0.341
"SMR000798335","LSM-3364","VCAP",0.341
"Betamethasone","LSM-2864","VCAP",0.341
"BRD-K82814298","LSM-13487","A375",0.341
"BRD-K73400194","LSM-12924","VCAP",0.34
"NCGC00092314-01","LSM-4969","A549",0.34
"Pirarubicin","LSM-5899","MCF7",0.34
"BRD-K01251033","LSM-15016","VCAP",0.34
"Pranoprofen","LSM-5110","MCF7",0.34
"Phenazopyridine","LSM-3705","VCAP",0.34
"Amperozide","LSM-3159","VCAP",0.34
"PHA-665752","LSM-42793","A375",0.34
"Triazolothiadiazine, 36","LSM-1553","HT29",0.34
"BRD-K42620042","LSM-11014","VCAP",0.34
"MLS002703110","LSM-3776","VCAP",0.34
"852475-26-4","LSM-43291","HCC515",0.34
"Doconexent","LSM-42954","FIBRNPC",0.34
"Robustic acid","LSM-3210","VCAP",0.34
"Hydroxyl","LSM-44628","HCC515",0.34
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-","LSM-1177","SW620",0.34
"MLS003129090","LSM-39869","VCAP",0.34
"Nicardipine","LSM-1418","VCAP",0.34
"Podofilox","LSM-3055","NPC",0.34
"BAS 04938498","LSM-4486","PC3",0.34
"Tyrphostin AG 879","LSM-3320","VCAP",0.34
"Austricin","LSM-3434","VCAP",0.34
"BRD-K60636255","LSM-12092","A549",0.34
"MLS000033898","LSM-2342","VCAP",0.339
"BRD-K54822214","LSM-40272","A549",0.339
"STK222600","LSM-3535","HT29",0.339
"BRD-K48804356","LSM-39986","A549",0.339
"KU0060648","LSM-4935","MCF7",0.339
"Epicatechin Gallate","LSM-3115","MCF7",0.339
"SB 203580, SULFONE","LSM-6022","A549",0.339
"SMR000024485","LSM-42913","A549",0.339
"HSCI1_000313","LSM-2211","VCAP",0.339
"SA-89705","LSM-40176","MCF7",0.339
"MLS001173269","LSM-3752","A375",0.339
"IN1436","LSM-2255","PC3",0.339
"Norgestrel","LSM-1612","A375",0.339
"Thiostrepton","LSM-43142","A549",0.339
"CID 45259133","LSM-3081","A375",0.339
"CHEMBL1165368","LSM-42920","VCAP",0.339
"Phloretin","LSM-6221","RMUGS",0.339
"VU0424182-2","LSM-2902","A549",0.339
"Clofilium","LSM-5214","MCF7",0.338
"Wortmannin","LSM-3947","THP1",0.338
"Acetylcysteine","LSM-4672","A549",0.338
"HY-11007","LSM-1022","MCF7",0.338
"Motesanib","LSM-1042","HA1E",0.338
"AC1LGCD9","LSM-4698","ASC",0.338
"Tetrahydrobiopterin","LSM-5120","VCAP",0.338
"BRD-K03394322-001-01-8","LSM-37460","VCAP",0.338
"KUC111774N","LSM-36810","PC3",0.338
"BRD-K43194109","LSM-11053","VCAP",0.338
"Dacinostat","LSM-43097","A549",0.338
"BRD-K43776433","LSM-11100","A549",0.338
"CHEMBL2141330","LSM-39999","NOMO1",0.337
"BRD-K40349140-001-01-7","LSM-39494","MCF7",0.337
"BRD-K43550773","LSM-39665","VCAP",0.337
"BRD-K75322905","LSM-13035","MCF7",0.337
"Tacedinaline","LSM-19036","FIBRNPC",0.337
"SB 200646","LSM-3738","A549",0.337
"BRD-K13448237","LSM-9234","VCAP",0.337
"Dexamethasone 21-acetate","LSM-3049","VCAP",0.337
"Ethyl {3-[(3,5-dimethoxybenzoyl)amino]phenyl}carbamate","LSM-4855","A549",0.337
"CHEMBL2131904","LSM-41483","PC3",0.337
"Arachidonamide","LSM-42929","VCAP",0.337
"SA-1458163","LSM-36821","MCF7",0.337
"SA-247508","LSM-40968","MCF7",0.337
"TOCRIS-0930","LSM-2999","HT29",0.337
"WZ3105","LSM-5970","A549",0.337
"BRD-K58191509","LSM-40452","PC3",0.337
"Palbociclib","LSM-1071","HCC515",0.337
"BRD-K94390294","LSM-14216","VCAP",0.337
"BRD-K00409424","LSM-37303","VCAP",0.337
"BRD-K80472474","LSM-13349","VCAP",0.337
"Disopyramide","LSM-1439","A375",0.337
"BRD-K33832590","LSM-7284","VCAP",0.337
"BRD-K13707774","LSM-9258","VCAP",0.336
"BRD-K71552321","LSM-12808","VCAP",0.336
"Tozasertib","LSM-1021","BT20",0.336
"MLS002474519","LSM-3917","PC3",0.336
"NSC169534","LSM-1799","HA1E",0.336
"BRD-K39092862-001-01-2","LSM-39426","MCF7",0.336
"Dinoprostone","LSM-42919","VCAP",0.336
"WH-4-025","LSM-45317","HS578T",0.336
"SA-426029","LSM-14722","MCF7",0.336
"BRD-K52184420","LSM-11620","A549",0.336
"NU-7026","LSM-2191","MCF7",0.336
"Cilostamide","LSM-2628","MCF7",0.336
"KUC103882","LSM-3187","HT29",0.336
"BRD-K50177987","LSM-40052","VCAP",0.336
"SMR000015484","LSM-42840","VCAP",0.336
"Oxfendazole","LSM-1466","MCF7",0.336
"LY-294002","LSM-2597","MCF7",0.336
"Teniposide","LSM-1483","A549",0.336
"Genistein","LSM-5549","VCAP",0.336
"MEGXP0_000778","LSM-4431","HCC515",0.336
"CHEMBL2355586","LSM-6779","VCAP",0.336
"PD-0325901","LSM-1101","A549",0.336
"BX 912","LSM-1055","VCAP",0.335
"Azaperone","LSM-3012","MCF7",0.335
"Ergoatetrine","LSM-1771","VCAP",0.335
"BRD-K46959535","LSM-11290","VCAP",0.335
"Chlorprothixene","LSM-42990","NPC",0.335
"Sulfamethoxazole","LSM-5422","PC3",0.335
"BRD-K27503016","LSM-7192","VCAP",0.335
"PJ34","LSM-4937","HCC515",0.335
"12K-612S","LSM-2885","A549",0.335
"BRD-K27732957","LSM-15028","VCAP",0.335
"BRD-K71032175","LSM-12763","VCAP",0.335
"KS-1136","LSM-1519","MCF7",0.335
"Pizotyline","LSM-3695","VCAP",0.334
"[(Mesitylsulfonyl)amino]acetic acid","LSM-4533","A549",0.334
"KI-16425","LSM-5013","MCF7",0.334
"BRD-K40724613","LSM-39518","VCAP",0.334
"Chelerythrine","LSM-1187","A549",0.334
"AC1NUE3V","LSM-43141","MCF7",0.334
"BRD-K28377013","LSM-6097","VCAP",0.334
"CHEMBL1513361","LSM-1615","MCF7",0.334
"Doxylamine","LSM-1563","MCF7",0.334
"Triazine Scaffold, 36","LSM-3246","PC3",0.334
"BRD-K81131579","LSM-41699","VCAP",0.334
"Ivacaftor (VX-770)","LSM-45975","HA1E",0.334
"BRD-K53407305","LSM-11686","VCAP",0.334
"BRD-K51041684","LSM-11546","VCAP",0.334
"BRD-K42584632","LSM-39616","VCAP",0.334
"131780-47-7","LSM-2686","HEPG2",0.334
"BRD-K16714380","LSM-9437","VCAP",0.333
"MLS002415569","LSM-3074","VCAP",0.333
"MLS003129525","LSM-8016","VCAP",0.333
"AC1NS4MK","LSM-42966","VCAP",0.333
"CDK4 Inhibitor III","LSM-2121","NPC",0.333
"Osimertinib","LSM-6344","HA1E",0.333
"TAN-67","LSM-36451","HT29",0.333
"BRD-K77264230","LSM-7851","VCAP",0.333
"Buparlisib","LSM-1148","BT20",0.333
"CP-724714","LSM-42777","SKBR3",0.333
"BRD-K11977286","LSM-9151","VCAP",0.333
"BRD-K87063646","LSM-42019","VCAP",0.333
"AMG-9810","LSM-2953","A549",0.333
"Ouabain","LSM-2781","VCAP",0.333
"SA-1459167","LSM-38505","MCF7",0.333
"Ondansetron","LSM-1375","A375",0.333
"4-(4-Methoxyphenoxy)-2-(4-propoxyphenyl)quinazoline","LSM-6594","MCF7",0.333
"331771-20-1","LSM-1096","MDAMB231",0.333
"Pioglitazone","LSM-1592","VCAP",0.333
"Acarbose","LSM-4631","MCF7",0.333
"BRD-K62083683","LSM-40663","PC3",0.333
"MLS002264391","LSM-4007","VCAP",0.333
"Valsartan","LSM-2993","A549",0.333
"(R,R)-Tramadol","LSM-5221","HCC515",0.333
"BRD-K75971499","LSM-37185","NPC",0.333
"Glipizide","LSM-2251","PC3",0.332
"BSPBIO_001592","LSM-43102","NCIH2073",0.332
"BRD-K09563163","LSM-9013","VCAP",0.332
"Dcebio","LSM-2704","VCAP",0.332
"ALD1-H_000967","LSM-45113","A549",0.332
"QL47","LSM-6019","MCF7",0.332
"CHEMBL300780","LSM-2087","HEPG2",0.332
"Methoxsalen","LSM-3410","MCF7",0.332
"Orlistat","LSM-5724","MCF7",0.332
"Gefitinib","LSM-1098","SKBR3",0.332
"ML162","LSM-1493","THP1",0.332
"AC1LDBAO","LSM-4032","MCF7",0.332
"UB-165","LSM-1331","A549",0.332
"Alectinib","LSM-1202","PC3",0.332
"BRD-K76665419","LSM-13120","VCAP",0.331
"Trapidil","LSM-4152","HELA",0.331
"BRD-K82825326","LSM-14952","VCAP",0.331
